k,nu,u,c_over_c1,transport_frac,branch_frac,slack,argmin_lift,argmin_offset
16,3,19,0.6908384373027887,0.00162789494517159,0.998372251897424,1.4684259563857438e-07,1,65
16,3,20,0.5793716704890085,0.0018659126729322034,0.9981342089126526,1.2158558493347016e-07,1,67
16,3,22,0.6662286831098585,0.0020649540515253347,0.9979352390765371,1.9312806265325833e-07,1,71
16,3,23,0.5091754486610613,0.002130713598384099,0.9978694108189161,1.2441730024015385e-07,1,73
16,3,25,0.9676855569848587,0.0011921138220430197,0.9988080865721242,2.003941672601428e-07,0,50
16,3,26,0.337528984512446,0.003214633499784518,0.9967854961113713,1.296111560300517e-07,2,25
16,4,1,0.3482101048548187,0.003169099122760117,0.9968311406296309,2.3975239082929534e-07,0,2
16,4,2,0.958949805532244,0.0015168527750075084,0.9984833166015097,1.6937651725612568e-07,0,4
16,4,4,0.30922170900895707,0.003253002345167972,0.9967472113009573,2.1364612523555593e-07,0,8
16,4,5,0.9565811829110267,0.0013857422015819212,0.9986144292464505,1.7144803243773765e-07,0,10
16,4,7,0.25862699145796414,0.004008487942499036,0.9959916543902614,1.4233276046660137e-07,0,14
16,4,8,0.5347506878441743,0.002189443368575538,0.9978107037646378,1.4713321339066e-07,2,178
16,4,10,0.28290970223795636,0.0038302453056654256,0.9961698985732356,1.4387890079348153e-07,1,101
16,4,11,0.5399465924902301,0.00253845080581681,0.9974617098470044,1.6065282126831448e-07,0,22
16,4,13,0.5121387273976193,0.002027761824710149,0.9979724465722747,2.0839698477992386e-07,1,107
16,4,14,1.0444127171669457,0.0015377567957887447,0.9984623655731025,1.223688914642196e-07,0,28
16,4,16,0.3069154534693469,0.00345061296956348,0.9965495236859534,1.366555169024508e-07,2,194
16,4,17,0.4869233466394937,0.0022405273178309083,0.9977596555855162,1.8290334691251076e-07,2,196
16,4,19,0.4232205710950049,0.0025387658292277755,0.9974614191429307,1.8497215847901316e-07,1,119
16,4,20,0.7357019926675106,0.0016516971653286834,0.9983484935844463,1.9074977508637403e-07,2,202
16,4,22,0.43674686136629054,0.0024129200338457017,0.9975872319162252,1.5195007097013047e-07,2,206
16,4,23,0.6739446542459153,0.0022672830892985375,0.9977328640995604,1.4718885887887723e-07,1,127
16,4,25,0.2434156311437045,0.004454150533340117,0.9955460693219321,2.198552722099123e-07,0,50
16,4,26,0.5473528947297659,0.002309467777925126,0.9976907007652528,1.685431778586377e-07,2,214
16,4,28,0.31530719952551023,0.003575339917979204,0.9964248311432359,1.710612149707913e-07,2,218
16,4,29,0.7588298138111227,0.0017049426032611592,0.9982951876429018,1.3024616296597458e-07,2,220
16,4,31,0.3132499840486173,0.0031555914764130467,0.9968445304261945,1.2190260756383964e-07,1,143
16,4,32,1.043214361148486,0.00123604752718545,0.9987641064664146,1.539936000938269e-07,1,145
16,4,34,0.24985518676089163,0.004193784189252738,0.9958063762021195,1.6039137218371025e-07,0,68
16,4,35,0.5081957193683463,0.002540141487618793,0.9974600371327287,1.7862034740190325e-07,0,70
16,4,37,0.30737890661559947,0.003432226053080884,0.9965679337707605,1.59823841272555e-07,0,74
16,4,38,0.48092451866769914,0.002726449903327434,0.9972737212278644,1.711311918839442e-07,0,76
16,4,40,0.40323119227238186,0.002652066828626566,0.9973481230563027,1.8988492933580403e-07,2,242
16,4,41,0.7576915986928617,0.0020199182462901605,0.997980263919437,1.8216572716944768e-07,1,163
16,4,43,0.31310670097836546,0.0031934591924993967,0.9968067083228183,1.6751531761727279e-07,2,5
16,4,44,0.46358951928593006,0.0025008989995631706,0.997499269099049,1.6809861214106547e-07,2,7
16,4,46,0.3542820005440762,0.0031708873039658705,0.9968292846785612,1.7198252710848294e-07,2,11
16,4,47,0.5521476693175124,0.0022769505235863225,0.9977232119896013,1.625131877958097e-07,2,13
16,4,49,0.32092596163277615,0.003091991423881051,0.996908211005986,2.0242986709106958e-07,0,98
16,4,50,0.7793604612026492,0.001754250516840444,0.9982459278501922,1.7836703247731123e-07,1,181
16,4,52,0.23911661302056275,0.004513821718438285,0.9954863560414666,1.7775990501789352e-07,0,104
16,4,53,0.48447785693775075,0.002355851338817404,0.9976442670707228,1.1840954017294791e-07,1,187
16,4,55,0.312891672892,0.0037737223643532027,0.9962264184327709,1.407971241818018e-07,0,110
16,4,56,0.7768266906428694,0.0019506824780419567,0.9980495101814698,1.926595116774621e-07,0,112
16,4,58,0.32134994356200686,0.003010062507738219,0.9969901091373249,1.7164506305178406e-07,1,197
16,4,59,1.4322774952555495,0.0009217078103044403,0.9990784576384913,1.6544879577473637e-07,2,37
16,4,61,0.2566634464561499,0.003939381597250576,0.9960608243026552,2.0589990579189532e-07,0,122
16,4,62,0.4400785918329546,0.0027607757755435665,0.9972393894452221,1.6522076551339637e-07,1,205
16,4,64,0.37122686326211446,0.0031178482578225176,0.9968823196823475,1.6794016999277517e-07,1,209
16,4,65,0.5201769426658732,0.002851590766534971,0.9971485787363236,1.6950285863792658e-07,2,49
16,4,67,0.4230834435796034,0.0026994645888697897,0.9973006789577077,1.4354657751347588e-07,2,53
16,4,68,0.6866373898498781,0.0025277416651086244,0.9974724481645337,1.8982964244962375e-07,2,55
16,4,70,0.2813301073802436,0.0038232695119123877,0.9961769292291706,1.987410829240588e-07,2,59
16,4,71,0.6036519112120877,0.0018232761759398506,0.9981769037057487,1.7988168843352526e-07,0,142
16,4,73,0.3678163714038795,0.002935680103123066,0.9970645006203821,1.8072350527198466e-07,0,146
16,4,74,0.6690757706849751,0.001971105574888004,0.9980291040846441,2.0965953195783982e-07,0,148
16,4,76,0.3181062012279023,0.0034224879309508746,0.9965776706216729,1.5855262369690593e-07,1,233
16,4,77,0.7680888581790919,0.0016844615597169344,0.9983156725100418,1.3406975885033035e-07,0,154
16,4,79,0.2345960561157977,0.004723382415757298,0.9952767854813684,1.6789712575793203e-07,0,158
16,4,80,0.5098191049310644,0.0022549686025440715,0.9977451899380572,1.5854060131381686e-07,0,160
17,1,0,1.0,0.0006581390947262176,0.9993419968444983,1.3593922454369078e-07,0,0
17,1,1,0.6947502040914935,0.0009385567182830787,0.9990616544427128,2.1116099579998604e-07,0,2
17,1,2,1.3094770828761488,0.0005051827284973035,0.9994948995013948,8.222989200667996e-08,0,4
17,2,1,0.9098986668130863,0.000752035710558766,0.9992481211280005,1.5683855925097134e-07,0,2
17,2,2,0.4825424419221451,0.0013921740431020854,0.998607963012933,1.3705603496561025e-07,1,13
17,2,4,1.3991510584944469,0.0005126026500337151,0.9994874793615812,8.20116150546113e-08,2,26
17,2,5,0.6349905104950143,0.0010771206426982939,0.9989230459349789,1.6657767720751337e-07,0,10
17,2,7,0.9944613845024063,0.0006735562735094946,0.9993266007844306,1.570579399867711e-07,2,5
17,2,8,0.5840623899878508,0.0011341714247026628,0.9988659936747051,1.6509940792275302e-07,1,25
