k,center,j,count,mass_frac,mean_osc,mw_mean_osc,p_osc_gt_02,mass_osc_gt_02,max_osc
18,inv4_n1,6,118098,1.069920e-02,6.898080e-02,8.018074e-02,1.816288e-02,4.705624e-04,3.779155e-01
18,inv4_n1,7,39366,4.965108e-03,7.626196e-02,8.785988e-02,2.588528e-02,2.838719e-04,3.774824e-01
18,inv4_n1,8,13122,2.287291e-03,8.485508e-02,9.681925e-02,3.772291e-02,1.723432e-04,3.921830e-01
18,inv4_n1,9,4374,1.046733e-03,9.392769e-02,1.065063e-01,5.669867e-02,1.074005e-04,3.873298e-01
18,inv4_n1,10,1458,4.758600e-04,1.052959e-01,1.180328e-01,8.367627e-02,6.322004e-05,3.687363e-01
18,inv4_n2,1,28697814,8.882382e-01,5.453172e-02,6.928497e-02,8.517687e-03,2.777267e-02,6.150221e-01
18,inv4_n2,2,9565938,5.703271e-02,5.093960e-02,6.147196e-02,6.629982e-03,1.224149e-03,3.855062e-01
18,inv4_n2,3,3188646,2.873391e-02,5.336466e-02,6.365590e-02,7.629571e-03,6.699183e-04,3.837959e-01
18,inv4_n2,4,1062882,1.379263e-02,5.774488e-02,6.829529e-02,9.884446e-03,3.863100e-04,3.794304e-01
18,inv4_n2,5,354294,6.525309e-03,6.294936e-02,7.378860e-02,1.322630e-02,2.262363e-04,3.788598e-01
18,inv4_n2,6,118098,3.058561e-03,6.898080e-02,8.018074e-02,1.816288e-02,1.345189e-04,3.779155e-01
18,inv4_n2,7,39366,1.419367e-03,7.626196e-02,8.785988e-02,2.588528e-02,8.114998e-05,3.774824e-01
18,inv4_n2,8,13122,6.538640e-04,8.485508e-02,9.681925e-02,3.772291e-02,4.926746e-05,3.921830e-01
18,inv4_n2,9,4374,2.992277e-04,9.392769e-02,1.065063e-01,5.669867e-02,3.070241e-05,3.873298e-01
18,inv4_n2,10,1458,1.360333e-04,1.052959e-01,1.180328e-01,8.367627e-02,1.807261e-05,3.687363e-01
18,inv4_n3,1,28697814,5.027174e-01,5.255060e-02,6.492146e-02,7.463983e-03,1.281397e-02,3.921830e-01
18,inv4_n3,2,9565938,4.295341e-01,5.893268e-02,7.437752e-02,1.092909e-02,1.632106e-02,6.150221e-01
18,inv4_n3,3,3188646,4.473743e-02,5.197572e-02,6.349065e-02,7.059736e-03,1.058358e-03,3.880927e-01
18,inv4_n3,4,1062882,1.615413e-02,5.186785e-02,6.085878e-02,6.968789e-03,3.260618e-04,3.812488e-01
18,inv4_n3,5,354294,3.972268e-03,4.703369e-02,5.205549e-02,3.996681e-03,3.914504e-05,3.529475e-01
18,inv4_n3,6,118098,1.749125e-03,5.158685e-02,5.868366e-02,6.172840e-03,2.721720e-05,3.407520e-01
18,inv4_n3,7,39366,6.342750e-04,5.512769e-02,6.207818e-02,8.001829e-03,1.201350e-05,3.342141e-01
18,inv4_n3,8,13122,2.969404e-04,6.453790e-02,7.193012e-02,1.440329e-02,8.780964e-06,3.568595e-01
18,inv4_n3,9,4374,1.148265e-04,7.267998e-02,8.165693e-02,2.240512e-02,5.129419e-06,3.628236e-01
18,inv4_n3,10,1458,5.188561e-05,8.272203e-02,9.198844e-02,3.497942e-02,3.265480e-06,3.364564e-01
19,minus1,1,86093442,5.010298e-01,4.825070e-02,6.011790e-02,5.717695e-03,1.044550e-02,3.915657e-01
19,minus1,2,28697814,2.594500e-01,4.962094e-02,6.223961e-02,6.141269e-03,5.846463e-03,3.924329e-01
19,minus1,3,9565938,1.259810e-01,5.340702e-02,6.673790e-02,7.670863e-03,3.399624e-03,3.906049e-01
19,minus1,4,3188646,6.014801e-02,5.824978e-02,7.241876e-02,1.014412e-02,2.017693e-03,3.918903e-01
19,minus1,5,1062882,2.849499e-02,6.383488e-02,7.868726e-02,1.372118e-02,1.202587e-03,3.893104e-01
19,minus1,6,354294,1.336007e-02,7.040458e-02,8.617603e-02,1.947253e-02,7.348240e-04,3.906123e-01
19,minus1,7,118098,6.221930e-03,7.810119e-02,9.477982e-02,2.840861e-02,4.516695e-04,3.892150e-01
19,minus1,8,39366,2.880591e-03,8.701495e-02,1.046788e-01,4.171112e-02,2.797864e-04,3.949279e-01
19,minus1,9,13122,1.326825e-03,9.710084e-02,1.157896e-01,6.523396e-02,1.777982e-04,4.123932e-01
19,minus1,10,4374,6.069376e-04,1.085311e-01,1.282370e-01,9.670782e-02,1.089572e-04,3.964320e-01
