base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
2690000001	2700000000	1437	4223	1808	0	0	0	0	0	9992532	0	121.3219	2693189065
2700000001	2710000000	1868	1821	151	0	0	0	0	0	9996160	0	121.3219	2704867689
2710000001	2720000000	3354	2630	392	0	0	0	0	0	9993624	0	121.3219	2719426327
2720000001	2730000000	1719	1866	945	0	0	0	0	0	9995470	0	121.3219	2728357383
2730000001	2740000000	1422	6362	1176	0	0	0	0	0	9991040	0	121.3219	2731217287
2740000001	2750000000	1284	1823	250	0	0	0	0	0	9996643	0	121.3219	2743058501
2750000001	2760000000	1620	1723	76	0	0	0	0	0	9996581	0	121.3219	2757822557
2760000001	2770000000	1736	3973	1684	0	0	0	0	0	9992607	0	121.3219	2766900941
2770000001	2780000000	3374	3182	484	0	0	0	0	0	9992960	0	121.3219	2772650133
2780000001	2790000000	1993	385	748	0	0	0	0	0	9996874	0	121.3219	2784689661
2790000001	2800000000	914	3562	469	0	0	0	0	0	9995055	0	121.3219	2796766309
2800000001	2810000000	1738	5671	1082	0	0	0	0	0	9991509	0	121.3219	2808889193
2810000001	2820000000	1523	1171	194	0	0	0	0	0	9997112	0	121.3219	2811818453
2820000001	2830000000	1454	3407	1289	0	0	0	0	0	9993850	0	121.3219	2824012541
2830000001	2840000000	1650	2387	369	0	0	0	0	0	9995594	0	121.3219	2836257329
2840000001	2850000000	3706	2481	430	0	0	0	0	0	9993383	0	121.3219	2848551687
2850000001	2860000000	1205	1471	1317	0	0	0	0	0	9996007	0	121.3219	2851524529
2860000001	2870000000	1574	4037	357	0	0	0	0	0	9994032	0	121.3219	2863885349
2870000001	2880000000	1422	3654	660	0	0	0	0	0	9994264	0	121.3219	2876306589
2880000001	2890000000	2214	1305	178	0	0	0	0	0	9996303	0	121.3219	2888771679
2890000001	2900000000	1069	4956	1570	0	0	0	0	0	9992405	0	121.3219	2891789815
2900000001	2910000000	1884	1389	128	0	0	0	0	0	9996599	0	121.3219	2904328857
2910000001	2920000000	3306	1798	286	0	0	0	0	0	9994610	0	121.3219	2916923337
2920000001	2930000000	1196	1707	1422	0	0	0	0	0	9995675	0	121.3219	2929561993
2930000001	2940000000	2146	4941	982	0	0	0	0	0	9991931	0	121.3219	2932622641
2940000001	2950000000	1128	2511	19	0	0	0	0	0	9996342	0	121.3219	2945338353
2950000001	2960000000	2184	1294	189	0	0	0	0	0	9996333	0	121.3219	2958110087
2960000001	2970000000	1068	5301	1608	0	0	0	0	0	9992023	0	121.3219	2961190261
2970000001	2980000000	1910	1461	117	0	0	0	0	0	9996512	0	121.3219	2974033527
2980000001	2990000000	3096	1919	291	0	0	0	0	0	9994694	0	121.3219	2986927217
2990000001	3000000000	1164	1916	1615	0	0	0	0	0	9995305	0	121.3219	2990034025
