d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
2	4	0	1	7	-	-	0.000000	0	1	13	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	1	1	1	-	-	0.000000	0	2	2;1	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	17.610	2.00	-
2	4	1	1	2	-	-	0.000000	0	1	3	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.195	25001.00	-
2	4	1	1	3	-	-	0.000000	0	3	6;8;5	0.666670	0.333310	0.000020	0.000000	0.000000	0.000000	0.918283	0.000000	3	17.610	2.00	-
2	4	1	1	4	-	-	0.000000	0	1	7	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25002.00	-
2	4	1	1	5	-	-	0.000000	0	3	10;14;9	0.800000	0.199980	0.000020	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	4	1	1	6	-	-	0.000000	0	1	11	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25003.00	-
2	4	1	1	7	-	-	0.000000	0	4	16;14;20;13	0.428580	0.428570	0.142830	0.000020	0.000000	0.000000	1.448788	1.448787	36	17.610	2.00	-
2	4	2	1	1	-	-	0.000000	0	1	1	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	2	1	2	-	-	0.000000	0	1	3	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	2	1	3	-	-	0.000000	0	1	5	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	2	1	4	-	-	0.000000	0	1	7	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	2	1	5	-	-	0.000000	0	1	9	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	2	1	6	-	-	0.000000	0	1	11	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	2	1	7	-	-	0.000000	0	1	13	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	3	1	1	-	-	0.000000	0	1	1	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.195	25000.50	-
2	4	3	1	2	-	-	0.000000	0	3	4;6;3	0.666670	0.333320	0.000010	0.000000	0.000000	0.000000	0.918303	0.000000	3	17.610	2.00	-
2	4	3	1	3	-	-	0.000000	0	1	5	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25001.50	-
2	4	3	1	4	-	-	0.000000	0	3	8;12;7	0.800000	0.199980	0.000020	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	4	3	1	5	-	-	0.000000	0	1	9	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25002.50	-
2	4	3	1	6	-	-	0.000000	0	4	12;14;18;11	0.428570	0.428570	0.142840	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	4	3	1	7	-	-	0.000000	0	1	13	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	19.195	25003.50	-
2	4	4	1	1	-	-	0.000000	0	1	1	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	4	1	2	-	-	0.000000	0	1	3	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	4	1	3	-	-	0.000000	0	1	5	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	4	1	4	-	-	0.000000	0	1	7	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	4	1	5	-	-	0.000000	0	1	9	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	4	1	6	-	-	0.000000	0	1	11	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	4	1	7	-	-	0.000000	0	1	13	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	5	1	1	-	-	0.000000	0	3	2;4;1	0.666660	0.333330	0.000010	0.000000	0.000000	0.000000	0.918303	0.000000	3	17.610	2.00	-
2	4	5	1	2	-	-	0.000000	0	1	3	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25001.00	-
2	4	5	1	3	-	-	0.000000	0	3	6;10;5	0.800000	0.199990	0.000010	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	4	5	1	4	-	-	0.000000	0	1	7	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25002.00	-
2	4	5	1	5	-	-	0.000000	0	4	12;10;16;9	0.428570	0.428570	0.142840	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	4	5	1	6	-	-	0.000000	0	1	11	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	19.195	25003.00	-
2	4	5	1	7	-	-	0.000000	0	4	14;16;22;13	0.666660	0.222230	0.111090	0.000020	0.000000	0.000000	1.224394	0.000000	9	17.610	2.00	-
2	4	6	1	1	-	-	0.000000	0	1	1	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.15	-
2	4	6	1	2	-	-	0.000000	0	1	3	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	6	1	3	-	-	0.000000	0	1	5	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	6	1	4	-	-	0.000000	0	1	7	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	6	1	5	-	-	0.000000	0	1	9	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	6	1	6	-	-	0.000000	0	1	11	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	6	1	7	-	-	0.000000	0	1	13	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	4	7	1	1	-	-	0.000000	0	1	1	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25000.50	-
2	4	7	1	2	-	-	0.000000	0	3	4;8;3	0.800000	0.199990	0.000010	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	4	7	1	3	-	-	0.000000	0	1	5	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25001.50	-
2	4	7	1	4	-	-	0.000000	0	4	8;10;14;7	0.428580	0.428570	0.142840	0.000010	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	4	7	1	5	-	-	0.000000	0	1	9	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	19.195	25002.50	-
2	4	7	1	6	-	-	0.000000	0	4	12;14;20;11	0.666670	0.222220	0.111090	0.000020	0.000000	0.000000	1.224362	0.000000	9	17.610	2.00	-
2	4	7	1	7	-	-	0.000000	0	1	13	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	19.417	25003.50	-
