threshold,k,parent_depth,child_depth,parent_bin,parent_bin_mass,first_parent_depth,weights,parent_bin_weight_num,parent_bin_weight_den,parent_bin_weight_decimal,weighted_high_child_mass_num,weighted_high_child_mass_den,weighted_high_child_mass_decimal,weighted_parent_mass_num,weighted_parent_mass_den,weighted_parent_mass_decimal,ratio_num,ratio_den,ratio_decimal,rho_num,rho_den,rho_decimal,rho_minus_ratio_num,rho_minus_ratio_den,rho_minus_ratio_decimal,selection_scope,source,source_sha256,source_sha256_verified
1/5,13,8,9,7,910143224388737160,3,31/25;69/50;1;34/25,34,25,1.36,20572525811845274628,25,8.22901032474e+17,6188973925843412688,5,1.23779478517e+18,1714377150987106219,2578739135768088620,0.664812166228,68,69,0.985507246377,57062237814119697049,177933000367998114780,0.320695080149,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,9,10,4,489687259321758041,3,31/25;69/50;1;34/25,31,25,1.24,5663697767829128263,25,2.26547910713e+17,15180305038974499271,25,6.07212201559e+17,5663697767829128263,15180305038974499271,0.373095122482,68,69,0.985507246377,641465596670056100281,1047441047689240449699,0.612412123895,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,9,10,5,463038667965590039,3,31/25;69/50;1;34/25,69,50,1.38,13052310125532484801,50,2.61046202511e+17,31949668089625712691,50,6.38993361793e+17,13052310125532484801,31949668089625712691,0.408527252581,68,69,0.985507246377,6144773098709212617,10649889363208570897,0.576979993796,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,9,10,6,697785986354755839,3,31/25;69/50;1;34/25,1,1,1,2509555941979498108,5,5.01911188396e+17,697785986354755839,1,6.97785986355e+17,2509555941979498108,3488929931773779195,0.71929101216,68,69,0.985507246377,7120875040447957312,26748462810265640495,0.266216234217,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,9,10,7,492027795349400911,3,31/25;69/50;1;34/25,34,25,1.36,10897780808803684612,25,4.35911232352e+17,16728945041879630974,25,6.69157801675e+17,5448890404401842306,8364472520939815487,0.651432638551,68,69,0.985507246377,192810693520180334002,577148603944847268603,0.334074607826,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,10,11,4,525973192794822908,3,31/25;69/50;1;34/25,31,25,1.24,8971067038513455611,50,1.7942134077e+17,16305168976639510148,25,6.52206759066e+17,8971067038513455611,32610337953279020296,0.275098867462,68,69,0.985507246377,1598499355165544942969,2250113318776252400424,0.710408378914,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,10,11,5,386920991976231913,3,31/25;69/50;1;34/25,69,50,1.38,9712608474073167199,50,1.94252169481e+17,26697548446360001997,50,5.33950968927e+17,9712608474073167199,26697548446360001997,0.363801511348,68,69,0.985507246377,16598018980310602885,26697548446360001997,0.621705735029,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,10,11,6,452717915920516543,3,31/25;69/50;1;34/25,1,1,1,15765780946224192311,50,3.15315618924e+17,452717915920516543,1,4.52717915921e+17,15765780946224192311,22635895796025827150,0.69649467767,68,69,0.985507246377,451402028840286976741,1561876809925782073350,0.289012568707,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,10,11,7,202293029806275785,3,31/25;69/50;1;34/25,34,25,1.36,875732154289796527,5,1.75146430858e+17,1375592602682675338,5,2.75118520537e+17,875732154289796527,1375592602682675338,0.636621738574,68,69,0.985507246377,33114778336425962621,94915889585104598322,0.348885507803,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,11,12,4,411659351549702910,3,31/25;69/50;1;34/25,31,25,1.24,1113411436764068961,10,1.11341143676e+17,2552287979608158042,5,5.10457595922e+17,123712381862674329,567175106579590676,0.218120260264,68,69,0.985507246377,30031752898887637267,39135082353991756644,0.767386986112,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,11,12,5,252936391185580906,3,31/25;69/50;1;34/25,69,50,1.38,5634694343337373543,50,1.12693886867e+17,8726305495902541257,25,3.49052219836e+17,5634694343337373543,17452610991805082514,0.322856811854,68,69,0.985507246377,11564980257282128065,17452610991805082514,0.662650434523,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,11,12,6,222232035520147689,3,31/25;69/50;1;34/25,1,1,1,7537365871370008359,50,1.50747317427e+17,222232035520147689,1,2.2223203552e+17,2512455290456669453,3703867258669128150,0.678332973347,68,69,0.985507246377,8722617616443391327,28396315649796649150,0.30717427303,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
