spec_name,threshold,k,parent_depth,child_depth,parent_bin,first_parent_depth,weights,rho,parent_bin_mass,weighted_high_child_mass,weighted_parent_mass,ratio,ratio_minus_rho,passes,contracts,mass_relative_error,parent_minimum_threshold_gap,child_minimum_threshold_gap,source_kind,source,source_sha256,source_sha256_verified
frontier_t_1_20,1/20,20,11,12,1,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,458133.21640547493,422528.60250698839,458133.21640547493,0.92228327345953809,-0.072146519734260894,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,2,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,663708.27538271341,636995.57963002927,715999.2626015516,0.88965954701619954,-0.10477024617759945,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,3,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,560950.41764112562,554076.03032929334,607892.21323087544,0.91147084675496104,-0.082958946438837944,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,4,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,397161.01134241733,399500.91577232874,425929.77350891492,0.93795019888171072,-0.056479594312088266,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,5,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,326202.00302459061,336829.1443906757,354801.94892250933,0.94934412117403844,-0.045085672019760548,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,6,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,478382.9218220131,503057.81162763131,521780.67141392786,0.96411737572501277,-0.030312417468786212,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,7,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,564290.29731002881,612025.80332034128,619448.20446014986,0.98801772111636477,-0.0064120720774342166,True,True,0,1.9445253995886702e-07,2.8430701132231562e-07,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,1,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,618110.83062279352,545534.83867523528,618110.83062279352,0.88258417689521407,-0.11184561629858492,True,True,0,2.8430701132231562e-07,1.8224490153095907e-08,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,2,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,750728.09185833205,697357.18913524156,809875.03112701979,0.86106764912211364,-0.13336214407168534,True,True,0,2.8430701132231562e-07,1.8224490153095907e-08,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,3,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,558408.27573262644,539440.86699342192,605137.33824994054,0.89143543605074338,-0.1029943571430556,True,True,0,2.8430701132231562e-07,1.8224490153095907e-08,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,4,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,386603.37977793807,383676.97136527207,414607.38915439369,0.92539829583788824,-0.069031497355910743,True,True,0,2.8430701132231562e-07,1.8224490153095907e-08,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,5,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,295366.8395879239,303122.91717523662,321263.29501716001,0.94353423461913244,-0.050895558574666544,True,True,0,2.8430701132231562e-07,1.8224490153095907e-08,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,6,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,398006.65956564026,417747.85902111663,434112.86770943884,0.96230241048907206,-0.032127382704726926,True,True,0,2.8430701132231562e-07,1.8224490153095907e-08,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
