threshold,k,parent_depth,child_depth,terminal_offset,first_parent_depth,weights,rho_num,rho_den,rho_decimal,parent_tail_num,parent_tail_den,parent_tail_decimal,child_tail_num,child_tail_den,child_tail_decimal,parent_potential_num,parent_potential_den,parent_potential_decimal,persistent_potential_num,persistent_potential_den,persistent_potential_decimal,immigration_potential_num,immigration_potential_den,immigration_potential_decimal,child_potential_num,child_potential_den,child_potential_decimal,realized_retention_num,realized_retention_den,realized_retention_decimal,total_mass,selection_scope,source,source_sha256,source_sha256_verified
1/5,15,12,13,1,3,31/25;69/50;1;34/25,68,69,0.985507246377,2659274852601076567,11762275113095526865,0.226085075126,297574793488180501,2352455022619105373,0.126495423133,65057187522843890477,235245502261910537300,0.276550186496,27207944678742240529,235245502261910537300,0.115657661537,18407085459300692279,470491004523821074600,0.0391231400437,72822974816785173337,470491004523821074600,0.154780801581,27207944678742240529,65057187522843890477,0.418215814651,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,13,14,0,3,31/25;69/50;1;34/25,68,69,0.985507246377,297574793488180501,2352455022619105373,0.126495423133,702403817003803609,11762275113095526865,0.0597166628267,72822974816785173337,470491004523821074600,0.154780801581,31937914407055508189,588113755654776343250,0.05430567488,46683790488810149361,2352455022619105373000,0.0198447111804,174435448117032182117,2352455022619105373000,0.0741503860604,127751657628222032756,364114874083925866685,0.350855366592,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,3,4,11,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,1,1,1,5051748744965714874416,3750465714896106146225,1.34696571812,9923786655324345923307,7500931429792212292450,1.32300724893,0,1,0,9923786655324345923307,7500931429792212292450,1.32300724893,9923786655324345923307,10103497489931429748832,0.982213007448,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,4,5,10,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,136732134744808786939,150018628595844245849,0.911434373348,9923786655324345923307,7500931429792212292450,1.32300724893,8999317630152087623237,7500931429792212292450,1.19976001839,0,1,0,8999317630152087623237,7500931429792212292450,1.19976001839,8999317630152087623237,9923786655324345923307,0.906843117725,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,5,6,9,3,31/25;69/50;1;34/25,68,69,0.985507246377,136732134744808786939,150018628595844245849,0.911434373348,124065514463979871230,150018628595844245849,0.827000724012,8999317630152087623237,7500931429792212292450,1.19976001839,3713993119391256112694,3750465714896106146225,0.990275182263,330078069096275158048,3750465714896106146225,0.0880098884214,4044071188487531270742,3750465714896106146225,1.07828507068,7427986238782512225388,8999317630152087623237,0.82539438478,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,6,7,8,3,31/25;69/50;1;34/25,68,69,0.985507246377,124065514463979871230,150018628595844245849,0.827000724012,108474144340254764261,150018628595844245849,0.723071163599,4044071188487531270742,3750465714896106146225,1.07828507068,6078803259642267451443,7500931429792212292450,0.81040645639,449258160800624209433,3750465714896106146225,0.119787299752,6977319581243515870309,7500931429792212292450,0.930193756142,2026267753214089150481,2696047458991687513828,0.75156976427,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,7,8,7,3,31/25;69/50;1;34/25,68,69,0.985507246377,108474144340254764261,150018628595844245849,0.723071163599,96975504982618349371,150018628595844245849,0.646423086855,6977319581243515870309,7500931429792212292450,0.930193756142,969546774643523077871,1500186285958442458490,0.646284253975,248828941405810076811,1500186285958442458490,0.165865362012,609187858024666577341,750093142979221229245,0.812149615986,4847733873217615389355,6977319581243515870309,0.694784553978,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,8,9,6,3,31/25;69/50;1;34/25,68,69,0.985507246377,96975504982618349371,150018628595844245849,0.646423086855,85399550266696845020,150018628595844245849,0.569259638393,609187858024666577341,750093142979221229245,0.812149615986,1985103100149859776772,3750465714896106146225,0.529295093211,652236430077065277054,3750465714896106146225,0.173908116927,2637339530226925053826,3750465714896106146225,0.703203210138,1985103100149859776772,3045939290123332886705,0.65172116417,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,9,10,5,3,31/25;69/50;1;34/25,68,69,0.985507246377,85399550266696845020,150018628595844245849,0.569259638393,71260842673370931014,150018628595844245849,0.475013292285,2637339530226925053826,3750465714896106146225,0.703203210138,3210284820921238592431,7500931429792212292450,0.427984824414,585989544760838591154,3750465714896106146225,0.156244474502,4382263910442915774739,7500931429792212292450,0.584229298916,3210284820921238592431,5274679060453850107652,0.608621829713,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,16,10,11,4,3,31/25;69/50;1;34/25,68,69,0.985507246377,71260842673370931014,150018628595844245849,0.475013292285,56390944163982831993,150018628595844245849,0.375892945375,4382263910442915774739,7500931429792212292450,0.584229298916,1242708422263893107378,3750465714896106146225,0.331347762313,972650646510761149117,7500931429792212292450,0.129670648987,3458067491038547363873,7500931429792212292450,0.461018411301,2485416844527786214756,4382263910442915774739,0.567153620896,150018628595844245849,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
